20	0	0.92736184954957	0.002
25	0	1.03077640640442	0.002
35	0.001	1.5337861650178	0.002
45	0.002	1.75285481429581	0.002
54	0.003	1.96834956245074	0.002
59	0.004	2.09353767580142	0.002
65	0.005	2.2477766792989	0.002
70	0.006	2.94278779391243	0.002
72	0.007	2.9859001992699	0.002
76	0.008	3.07382497875204	0.002
80	0.009	3.16385840391128	0.002
84	0.011	3.25582554815211	0.002
88	0.012	3.34956713621328	0.002
92	0.014	3.44493831584834	0.002
96	0.016	3.54180744818235	0.002
100	0.018	3.64005494464026	0.002
104	0.02	3.73957216804276	0.002
108	0.023	3.84026040783695	0.002
112	0.027	3.94202993392998	0.002
116	0.03	4.04479912974674	0.002
120	0.034	4.14849370253831	0.002
124	0.039	4.2530459673039	0.002
128	0.043	4.35839419970245	0.002
130	0.045	6.3608175575157	0.002
135	0.053	6.45387480510739	0.002
140	0.058	6.54904573201318	0.002
145	0.067	6.64623953826523	0.002
150	0.078	6.74536878161602	0.002
155	0.088	6.84634939219435	0.002
160	0.1	6.94910066123668	0.002
165	0.114	7.05354520790786	0.002
170	0.13	7.1596089278675	0.003
175	0.144	7.26722092687432	0.003
180	0.164	7.37631344236401	0.003
185	0.184	7.48682175559162	0.003
190	0.204	7.59868409660515	0.003
195	0.233	7.71184154401528	0.003
200	0.249	7.82623792124926	0.003
205	0.28	7.9418196907258	0.003
210	0.316	8.05853584716231	0.003
215	0.351	8.17633781102518	0.003
220	0.39	8.2951793229562	0.004
225	0.428	8.41501633985342	0.004
230	0.48	8.53580693314932	0.004
235	0.534	8.65751118971267	0.004
240	0.591	8.78009111570034	0.004
245	0.645	8.9035105436002	0.005
250	0.72	9.02773504263389	0.005
255	0.803	9.1527318326279	0.005
260	0.883	9.2784697014109	0.006
265	0.975	9.40491892575369	0.006
270	1.082	9.53205119583398	0.006
275	1.197	9.65983954318083	0.007
280	1.316	9.78825827203185	0.007
285	1.435	9.91728289401891	0.008
290	1.608	10.0468900660851	0.008
295	1.737	10.1770575315265	0.009
300	1.935	10.3077640640442	0.01
305	2.095	10.4389894146895	0.01
310	2.316	10.5707142615814	0.011
315	2.511	10.7029201622735	0.012
320	2.766	10.8355895086516	0.013
325	3	10.9687054842402	0.014
330	3.256	11.1022520238013	0.015
340	3.808	14.293005282305	0.017
