100	0	3.64005494464026	0.002
120	0	4.14849370253831	0.002
150	0	6.74536878161602	0.002
200	0	7.82623792124926	0.002
250	0	9.02773504263389	0.002
300	0.001	10.3077640640442	0.002
330	0.002	11.1022520238013	0.002
340	0.003	14.293005282305	0.002
360	0.004	14.7271857460956	0.002
380	0.006	15.1726728034318	0.002
400	0.01	15.6284996080878	0.002
410	0.012	15.8600126103355	0.002
420	0.015	16.0937876213153	0.002
430	0.018	16.3297274931335	0.002
440	0.023	16.5677397372122	0.002
450	0.028	16.8077363139716	0.002
460	0.035	17.0496334271444	0.002
470	0.042	17.2933513235579	0.002
480	0.052	17.5388140990205	0.002
490	0.064	17.7859495107796	0.002
500	0.078	18.0346887968714	0.002
510	0.1	18.2849665025671	0.002
520	0.121	18.5367203140146	0.002
530	0.15	18.7898908990978	0.003
540	0.189	19.0444217554643	0.003
550	0.231	19.3002590656188	0.003
560	0.284	19.5573515589407	0.003
570	0.353	19.8156503804442	0.003
580	0.444	20.0751089660804	0.004
590	0.54	20.3356829243574	0.004
600	0.676	20.597329924046	0.005
610	0.801	20.8600095877255	0.005
620	1	21.123683390924	0.006
630	1.238	21.3883145666039	0.007
640	1.544	21.6538680147451	0.008
660	2.383	28.1476464380239	0.012
680	3.414	28.5728892483767	0.016
700	4.77	29.0043100245464	0.04
720	6.42	29.4416371827383	0.05
740	7.85	29.8846114246112	0.05
760	9.75	30.3329853459893	0.06
