4.2	5	0.2	2.06700266085944
9.0	10	0.2	2.08326666559997
14.0	15	0.2	2.11009478460092
19.0	20	0.3	2.14709105535839
24.0	25	0.3	2.19374109684803
29.0	30	0.3	2.41039415863879
39.0	40	0.3	2.5377155080899
48.8	50	0.3	2.69258240356725
58.5	60	0.4	3.35261092284804
77.1	80	0.4	3.70944739819828
97.7	100	0.5	4.12310562561766
117.2	120	0.6	4.57820925690384
97.4	100	0.5	4.12310562561766
118.8	120	0.6	6.47765389628066
139	140	0.6	6.82934843158555
147.4	150	0.6	7.0178344238091
159.2	160	0.7	7.21387551874857
179	180	0.7	7.62627038597505
198.1	200	0.8	8.06225774829855
217.5	220	0.9	8.51821577561874
237.3	240	0.9	8.99110671719561
257	260	1	9.47839648885823
276.8	280	1	9.97797574661314
296.9	300	1.1	10.4880884817015
336.9	340	1.2	14.4235917856822
377.1	380	1.3	15.2957510439991
416	420	2	16.2098735343617
456	460	2	17.1592540630413
495	500	2	18.1383571472171
535	540	3	19.1426225998425
575	580	3	20.1682919455268
596	600	3	26.9814751264641
637	640	3	27.7964026449467
676	680	3	28.63843571147
715	720	3	29.505253769456
755	760	3	30.3947363864206
796	800	3	31.3049516849971
