4.2	5	0.2	0.722841614740048
9.0	10	0.2	0.768114574786861
14.0	15	0.2	0.838152730712011
19.0	20	0.3	0.92736184954957
24.0	25	0.3	1.03077640640442
29.0	30	0.3	1.43527000944073
39.0	40	0.3	1.64012194668567
48.8	50	0.3	1.87082869338697
58.5	60	0.4	2.7367864366808
77.1	80	0.4	3.16385840391128
97.7	100	0.5	3.64005494464026
117.2	120	0.6	4.14849370253831
97.4	100	0.5	3.64005494464026
118.8	120	0.6	6.18142378421024
139	140	0.6	6.54904573201318
147.4	150	0.6	6.74536878161602
159.2	160	0.7	6.94910066123668
179	180	0.7	7.37631344236401
198.1	200	0.8	7.82623792124926
217.5	220	0.9	8.2951793229562
237.3	240	0.9	8.78009111570034
257	260	1	9.2784697014109
276.8	280	1	9.78825827203185
296.9	300	1.1	10.3077640640442
336.9	340	1.2	14.293005282305
377.1	380	1.3	15.1726728034318
416	420	2	16.0937876213153
456	460	2	17.0496334271444
495	500	2	18.0346887968714
535	540	3	19.0444217554643
575	580	3	20.0751089660804
596	600	3	26.9118932815958
637	640	3	27.7288658260665
676	680	3	28.5728892483767
715	720	3	29.4416371827383
755	760	3	30.3329853459893
796	800	3	31.244999599936
